Liquidity_Locked_Pct,Owner_Can_Mint,Owner_Can_Pause,Ownership_Renounced,Contract_Verified,TopHolder_Pct,Number_of_Holders,Buy_Tax,Sell_Tax,LP_Burned,Token_Age_Days,Liquidity_USD,Daily_Volume_USD,Market_Cap_USD,RugPull
51,0,0,1,1,30,17535,2,22,0,907,3730497,21157,2420837,0
92,0,1,0,1,80,14607,16,29,0,880,4194192,2760514,35179249,1
14,0,0,1,1,94,17497,19,1,1,276,3609779,2868656,30193087,0
71,1,0,1,1,51,21046,18,21,1,290,1569561,1611635,39801935,0
60,0,0,1,0,90,14611,7,8,0,743,4491500,947937,31092745,0
20,0,0,1,1,5,15364,20,15,1,69,4899285,834499,35899720,0
82,0,1,1,0,68,8594,22,19,1,121,1572128,847013,4497038,1
86,0,0,1,1,16,16361,18,20,0,161,239013,2555751,3240721,0
74,0,0,1,1,28,14347,18,16,0,156,1041832,1355301,365798,0
74,0,0,1,1,34,18206,26,15,0,181,1501084,24919,39965155,0
87,0,1,1,0,18,8076,5,28,1,676,3680764,1540711,31179050,0
99,0,0,1,1,27,24319,25,0,1,809,4250553,2086320,34593052,0
23,0,1,0,1,6,6899,19,24,0,670,1927739,1308176,41126898,1
2,0,0,0,1,7,21122,7,4,0,239,541291,1749348,44905592,0
21,0,0,1,1,10,5085,2,27,0,27,2245703,954022,12250018,0
52,0,0,1,1,87,3793,4,26,1,178,2629250,391127,32771236,0
1,0,0,0,1,25,22261,0,18,0,764,2730286,1818610,36245592,1
87,0,0,1,1,24,5677,29,17,0,651,3874820,1002662,8751514,0
29,0,0,0,1,25,10720,0,25,1,913,1095328,2353860,26732082,0
37,0,0,0,1,44,4068,30,22,1,634,2617468,136301,37563960,0
1,1,0,1,1,72,13848,23,19,0,690,1124808,1291194,48657354,1
63,0,0,1,1,29,13054,22,2,1,620,2791993,1294350,32624661,0
59,0,0,1,1,75,8492,0,17,1,32,2609117,980715,11916790,0
20,0,0,1,1,75,3713,5,10,1,23,2198918,2180196,45236637,0
32,1,0,0,1,37,1720,1,10,1,173,975569,490640,43965754,0
75,0,0,0,1,55,5421,11,10,0,530,1936623,966079,49128513,0
57,0,0,1,1,94,23170,16,9,1,406,4477540,829966,24118198,0
21,0,0,1,1,85,11369,9,9,1,28,1574826,2194030,42558198,0
88,0,0,1,1,76,23538,4,3,1,817,2622602,104100,13930556,0
48,0,0,1,1,94,14299,4,8,0,810,1063757,601879,7402367,0
90,0,1,1,1,83,22211,1,9,0,271,918834,310586,3021147,0
